Name,Ad Read Tracker,Contact Email,Contracts,Filmed and edited,Published,Status
Ahrefs,"Ahrefs 1 (https://www.notion.so/Ahrefs-1-105c26b3b4f980c3a18ffaf2d4658f13?pvs=21), Ahrefs 2 (https://www.notion.so/Ahrefs-2-105c26b3b4f980adaf76d7994d89b8c6?pvs=21), Ahrefs 3 CHRISTMAS (https://www.notion.so/Ahrefs-3-CHRISTMAS-163c26b3b4f9803f85e3ea371d6a5c17?pvs=21)",igor.gorbenko@ahrefs.com,,2/3,2/3,Done
AppWrite,"AppWrite 1 (https://www.notion.so/AppWrite-1-4a4c0d1c54c347aa9538cfa4e28a1f4d?pvs=21), AppWrite 2 (https://www.notion.so/AppWrite-2-ed53f89bf17a464dbc70113fc687f633?pvs=21), Appwrite 3 CHRISTMAS (https://www.notion.so/Appwrite-3-CHRISTMAS-163c26b3b4f980e6a342c3b5c09e6562?pvs=21)",dylan@appwrite.io,,3/3,3/3,Done
Convex,"Convex 1 (https://www.notion.so/Convex-1-105c26b3b4f980acaa5ad96f44f3e857?pvs=21), Convex 2 (https://www.notion.so/Convex-2-96ce86d72c9749228cebcdf47bdcbe0a?pvs=21), Convex 3 (https://www.notion.so/Convex-3-105c26b3b4f9802da305dea9f30ebee0?pvs=21), Convex 4 (https://www.notion.so/Convex-4-105c26b3b4f9806ca08ae502cf11b6de?pvs=21), Convex 5 (https://www.notion.so/Convex-5-105c26b3b4f980f59525c0ae7678ac18?pvs=21), Convex 6 CHRISTMAS (https://www.notion.so/Convex-6-CHRISTMAS-163c26b3b4f9807a91dfd2dfee289e8b?pvs=21), Convex Jan 25-1 (https://www.notion.so/Convex-Jan-25-1-180c26b3b4f9807988c1c7a9ca6b0ada?pvs=21), Convex Feb 25-1 (https://www.notion.so/Convex-Feb-25-1-180c26b3b4f98037a965ce6cb5551114?pvs=21), Convex Mar 25-1 (https://www.notion.so/Convex-Mar-25-1-180c26b3b4f9802cbbe1f2f0f2872d20?pvs=21), Convex Apr 25-1 (https://www.notion.so/Convex-Apr-25-1-186c26b3b4f9802f8448f089bdbbdb00?pvs=21), Convex May 25-1 (https://www.notion.so/Convex-May-25-1-186c26b3b4f9801aa2e7ccb1e463c5a2?pvs=21), Convex Jun 25-1 (https://www.notion.so/Convex-Jun-25-1-186c26b3b4f980a8a384f9efaf7c8491?pvs=21), Convex Jul 25-1 (https://www.notion.so/Convex-Jul-25-1-186c26b3b4f980a58a8ae3c6f101a6f4?pvs=21), Convex Aug 25-1 (https://www.notion.so/Convex-Aug-25-1-186c26b3b4f980fdb783f64c6874f428?pvs=21), Convex Sep 25-1 (https://www.notion.so/Convex-Sep-25-1-186c26b3b4f980d09fc0c744eabc3154?pvs=21), Convex Oct 25-1 (https://www.notion.so/Convex-Oct-25-1-186c26b3b4f98092a58dd7912cab7467?pvs=21), Convex Nov 25-1 (https://www.notion.so/Convex-Nov-25-1-186c26b3b4f980c2bc1df003084a5934?pvs=21), Convex Dec 25-1 (https://www.notion.so/Convex-Dec-25-1-186c26b3b4f980299e0cd9bf88c3ecb2?pvs=21), Convex Mar EXTRA (https://www.notion.so/Convex-Mar-EXTRA-1c2c26b3b4f980f3a3b4ca3def3adf62?pvs=21)",jamwt@convex.dev,Convex annual 2025 (https://www.notion.so/Convex-annual-2025-268c26b3b4f9806c9f79ed67da1cb03d?pvs=21),19/19,19/19,Done
Sevalla,"Sevalla (Kinsta) 1  (https://www.notion.so/Sevalla-Kinsta-1-118c26b3b4f9802198abcd1724b96cea?pvs=21), Sevalla (Kinsta) 2 (https://www.notion.so/Sevalla-Kinsta-2-11bc26b3b4f980c2bfaec71a2cb423b4?pvs=21), Sevalla 3 (https://www.notion.so/Sevalla-3-12ec26b3b4f980f6b4ecd7d441739629?pvs=21), Sevalla 4 (https://www.notion.so/Sevalla-4-12ec26b3b4f980e8b26ed2f7fb4799e2?pvs=21), Sevalla 5 (https://www.notion.so/Sevalla-5-12ec26b3b4f98071b577d27cb7914eb4?pvs=21), Sevalla 8 CHRISTMAS (https://www.notion.so/Sevalla-8-CHRISTMAS-163c26b3b4f9807e88c6d22d67ef51d0?pvs=21), Sevalla 6 (https://www.notion.so/Sevalla-6-12ec26b3b4f98084af87cee42ae93947?pvs=21), Sevalla 7 (https://www.notion.so/Sevalla-7-12ec26b3b4f980439d69c94274a7bf55?pvs=21), Sevalla Jan 25-1 (https://www.notion.so/Sevalla-Jan-25-1-16dc26b3b4f98021be01e311b3bba3a6?pvs=21), Sevalla Jan 25-1 (https://www.notion.so/Sevalla-Jan-25-1-180c26b3b4f9801ab2e6c365f5d838ab?pvs=21), Sevalla Feb 25-1 (https://www.notion.so/Sevalla-Feb-25-1-180c26b3b4f98009b823d6f12ec071a1?pvs=21), Sevalla Feb 25-2 (https://www.notion.so/Sevalla-Feb-25-2-180c26b3b4f9803fbc68fbc4b762baee?pvs=21), Sevalla Mar 25-1 (https://www.notion.so/Sevalla-Mar-25-1-180c26b3b4f9807dabc5ea94214628ce?pvs=21), Sevalla Mar 25-2 (https://www.notion.so/Sevalla-Mar-25-2-180c26b3b4f98049b6c8e3cc95e3fa8b?pvs=21), Sevalla May 25-2 (https://www.notion.so/Sevalla-May-25-2-184c26b3b4f98023a55fdf0572d596db?pvs=21), Sevalla Apr 25-2 (https://www.notion.so/Sevalla-Apr-25-2-184c26b3b4f980b08d8ec477d18cc884?pvs=21), Sevalla May 25-1 (https://www.notion.so/Sevalla-May-25-1-184c26b3b4f9809fa21adec8be6bfae7?pvs=21), Sevalla Apr 25-1 (https://www.notion.so/Sevalla-Apr-25-1-184c26b3b4f9800b9b6cfda5597512e4?pvs=21), Sevalla Jun 25-2 (https://www.notion.so/Sevalla-Jun-25-2-184c26b3b4f9807bacd9c57cc79cd404?pvs=21), Sevalla Jun 25-1 (https://www.notion.so/Sevalla-Jun-25-1-184c26b3b4f980baabd7c28c22d45eb2?pvs=21), Sevalla Jul 25-2 (https://www.notion.so/Sevalla-Jul-25-2-184c26b3b4f980a5ad08d8edfc63b25e?pvs=21), Sevalla Jul 25-1 (https://www.notion.so/Sevalla-Jul-25-1-184c26b3b4f9809c8658cef1af710fc4?pvs=21), Sevalla Aug 25-2 (https://www.notion.so/Sevalla-Aug-25-2-184c26b3b4f98057bcfef13d215dfc5c?pvs=21), Sevalla Aug 25-1 (https://www.notion.so/Sevalla-Aug-25-1-184c26b3b4f9801f8633e659b56b09b7?pvs=21), Sevalla Sep 25-2 (https://www.notion.so/Sevalla-Sep-25-2-184c26b3b4f980e4ae9cc8ee850f91ea?pvs=21), Sevalla Sep 25-1 (https://www.notion.so/Sevalla-Sep-25-1-184c26b3b4f980558212ed959457e034?pvs=21), Sevalla Jan 26-2 (https://www.notion.so/Sevalla-Jan-26-2-184c26b3b4f98063ad12c3406dccb881?pvs=21), Sevalla Jan 26-1 (https://www.notion.so/Sevalla-Jan-26-1-184c26b3b4f9803e8301eb8275cce05c?pvs=21), Sevalla Nov 25-2 (https://www.notion.so/Sevalla-Nov-25-2-184c26b3b4f980bdb9b0d1f3446a1fae?pvs=21), Sevalla Nov 25-1 (https://www.notion.so/Sevalla-Nov-25-1-184c26b3b4f980f59099ce04e6f77c8b?pvs=21), Sevalla Dec 25-2 (https://www.notion.so/Sevalla-Dec-25-2-184c26b3b4f9807c91c7fee977c05ace?pvs=21), Sevalla Dec 25-1 (https://www.notion.so/Sevalla-Dec-25-1-184c26b3b4f98040bbdceb5c214b3cd2?pvs=21)",peter@sevalla.com,Sevalla 2025 annual (https://www.notion.so/Sevalla-2025-annual-268c26b3b4f980ee95d3da3ba64c9701?pvs=21),29/32,29/32,Done
AG Grid,"AG Grid 1 (https://www.notion.so/AG-Grid-1-36b277d0af44415ea20d10c3789f4f05?pvs=21), AG Grid 2 (https://www.notion.so/AG-Grid-2-3a44a69addec4481b2bf3d0430999d84?pvs=21), AG Grid 3 CHRISTMAS (https://www.notion.so/AG-Grid-3-CHRISTMAS-163c26b3b4f980e7b041cbbd3707c4c8?pvs=21)",james.swinton-bland@ag-grid.com,,3/3,3/3,Done
CodeCrafters,"CodeCrafters 1 (https://www.notion.so/CodeCrafters-1-123c26b3b4f980109c65ef4f5dfea7c7?pvs=21), CodeCrafters 2 (https://www.notion.so/CodeCrafters-2-123c26b3b4f9808f91a9dfc2f880dce5?pvs=21)",sarup@codecrafters.io,,2/2,2/2,Done
Bright Data,"Bright Data 1 (https://www.notion.so/Bright-Data-1-10dc26b3b4f980188909e5a9172b056c?pvs=21), Bright Data 2 (https://www.notion.so/Bright-Data-2-10dc26b3b4f980ecab78cabfba20f33e?pvs=21), Bright Data 3 (https://www.notion.so/Bright-Data-3-10dc26b3b4f9801baf2ce2167244ebe4?pvs=21)",noah@brightdata.com,,3/3,3/3,Done
PostHog,"Posthog H1 2024 - 3 (https://www.notion.so/Posthog-H1-2024-3-104c26b3b4f980128b60da0f9a72c511?pvs=21), Posthog H1 2024 - 2 (https://www.notion.so/Posthog-H1-2024-2-104c26b3b4f980fd9014f34dbec17256?pvs=21), Posthog H2 2024 - 1 (https://www.notion.so/Posthog-H2-2024-1-105c26b3b4f9801d8730f4c37b87e6fc?pvs=21), Posthog H2 2024 - 2 (https://www.notion.so/Posthog-H2-2024-2-02bbf0fe3a234f4ba3faf8285cfc2af9?pvs=21), Posthog H2 2024 - 3 (https://www.notion.so/Posthog-H2-2024-3-e39df57bdb3545bd84841e9039e37cce?pvs=21), Posthog H2 2024 - 4 (https://www.notion.so/Posthog-H2-2024-4-b45baf09f63d4d8f870a300ed57d34fb?pvs=21), Posthog H1 2024 - 1 (https://www.notion.so/Posthog-H1-2024-1-104c26b3b4f9802da5b4e756353d1797?pvs=21), Posthog 8 CHRISTMAS (https://www.notion.so/Posthog-8-CHRISTMAS-163c26b3b4f980b98edfc380b957f8fe?pvs=21), Posthog 9 (https://www.notion.so/Posthog-9-16ec26b3b4f980dcba3ce5efc11e60d1?pvs=21), Posthog Mar 25-1 (https://www.notion.so/Posthog-Mar-25-1-1b3c26b3b4f980228314e665dd9b5786?pvs=21), Posthog Mar 25-2 (https://www.notion.so/Posthog-Mar-25-2-1b3c26b3b4f980b996d8f2b2fb5d7c81?pvs=21), Posthog Apr 25-1 (https://www.notion.so/Posthog-Apr-25-1-1b3c26b3b4f980f59da2fa0c52242f21?pvs=21), Posthog May 25-1 (https://www.notion.so/Posthog-May-25-1-1b3c26b3b4f980f189bbf9b9fc857565?pvs=21), Posthog Jun 25-1 (https://www.notion.so/Posthog-Jun-25-1-1b3c26b3b4f9804f9f2efd6dc18cbcd0?pvs=21), Posthog Jun 25-2 (https://www.notion.so/Posthog-Jun-25-2-1b3c26b3b4f980d1b239e273b12846e9?pvs=21), Posthog Jan 26-1 (https://www.notion.so/Posthog-Jan-26-1-2dec26b3b4f980bfb738c491bf012bfc?pvs=21), Posthog Feb 26-1 (https://www.notion.so/Posthog-Feb-26-1-2dec26b3b4f980f4bc20c6c80955dc51?pvs=21), Posthog Mar 26-1  (https://www.notion.so/Posthog-Mar-26-1-2dec26b3b4f980e6b939da9a484b9f91?pvs=21), Posthog Apr 26-1 (https://www.notion.so/Posthog-Apr-26-1-2dec26b3b4f9807885baf8503f0ff585?pvs=21), Posthog May 26-1 (https://www.notion.so/Posthog-May-26-1-2dec26b3b4f980faae14ea982c9c2231?pvs=21), Posthog Jun 26-1 (https://www.notion.so/Posthog-Jun-26-1-2dec26b3b4f980238162c178945eda18?pvs=21)",ian@posthog.com,"Posthog h2 (https://www.notion.so/Posthog-h2-268c26b3b4f98003a7a2da00c8247698?pvs=21), Posthog Silver Jan-Jun 2026 (https://www.notion.so/Posthog-Silver-Jan-Jun-2026-2dec26b3b4f9807e940ee04a387f5b82?pvs=21)",15/21,15/21,Done
Google - IDX,"Google - IDX 1 (https://www.notion.so/Google-IDX-1-19ac26b3b4f98086b987cd8af6b17e77?pvs=21), Google - IDX 2 (https://www.notion.so/Google-IDX-2-19ac26b3b4f980e5a3f2db4aa4639c71?pvs=21), Google - IDX 3 (https://www.notion.so/Google-IDX-3-19ac26b3b4f980889efef32f6f93b36a?pvs=21), Google - IDX 4 (https://www.notion.so/Google-IDX-4-19ac26b3b4f980b7be9ad72769baf9d9?pvs=21), Google - IDX 5 (https://www.notion.so/Google-IDX-5-19ac26b3b4f980899897ccb2f3b6798c?pvs=21), Google - IDX 6 (https://www.notion.so/Google-IDX-6-19ac26b3b4f980ab84efc0524cd936c2?pvs=21), Google - IDX 7 (https://www.notion.so/Google-IDX-7-19ac26b3b4f980c9989fec7a8c67bf42?pvs=21), Google - IDX 8 (https://www.notion.so/Google-IDX-8-19ac26b3b4f98033a81fe8183709d37d?pvs=21)",deast@google.com,,0/8,0/8,Done
Agora,"Agora 1 (https://www.notion.so/Agora-1-18cc26b3b4f98087a675ea218c3ef125?pvs=21), Agora 2 (https://www.notion.so/Agora-2-18cc26b3b4f9809bb702dabd5a8715ca?pvs=21)",hermes.frangoudis@agora.io,Agora 2 Pack 2025 (https://www.notion.so/Agora-2-Pack-2025-268c26b3b4f98048bb0fe2edf22d8552?pvs=21),2/2,2/2,Done
Prisma,"Prisma 1 (https://www.notion.so/Prisma-1-134c26b3b4f9805c8206ed1a4145a82a?pvs=21), Prisma 2 CHRISTMAS (https://www.notion.so/Prisma-2-CHRISTMAS-134c26b3b4f98060b314d7732cd9bbca?pvs=21), Prisma 3 (https://www.notion.so/Prisma-3-134c26b3b4f980e0bbcced8da7b74c44?pvs=21), Prisma 4  (https://www.notion.so/Prisma-4-163c26b3b4f9805f93f4ead294e4b1f8?pvs=21)",donka@prisma.io,,4/4,4/4,Done
Netlify,"Netlify 1 (https://www.notion.so/Netlify-1-134c26b3b4f980ae8723e1967c9b6df9?pvs=21), Netlify 3 (https://www.notion.so/Netlify-3-134c26b3b4f9802d9145e59e9b7c5ac7?pvs=21), Netlify 4 (https://www.notion.so/Netlify-4-134c26b3b4f980cea357f58b6b4ef6c1?pvs=21), Netlify 5 (https://www.notion.so/Netlify-5-134c26b3b4f980c2b290e207fb380570?pvs=21), Netlify 2 (https://www.notion.so/Netlify-2-134c26b3b4f98035a75ff2f3a2c728a1?pvs=21)",woody@netlify.com,,0/5,0/5,Done
Payload,"Payload 1 (https://www.notion.so/Payload-1-137c26b3b4f98044abdcf879ad97bd92?pvs=21), Payload 2 CHRISTMAS (https://www.notion.so/Payload-2-CHRISTMAS-163c26b3b4f98071bba8e180e0046cda?pvs=21)",,,1/2,1/2,Done
Fal,"Fal 1 (https://www.notion.so/Fal-1-142c26b3b4f980abb1b0cc02e5c66cc6?pvs=21), Fal 2 (https://www.notion.so/Fal-2-142c26b3b4f980f9b517ecc56712a392?pvs=21), Fal 3 CHRISTMAS (https://www.notion.so/Fal-3-CHRISTMAS-163c26b3b4f980948b8ec31f19b40f28?pvs=21)",,Fal 2 Pack 2024 (https://www.notion.so/Fal-2-Pack-2024-268c26b3b4f980b39d8ed513bf0ac6dd?pvs=21),3/3,3/3,Done
g2i,"G2i 1 (https://www.notion.so/G2i-1-14cc26b3b4f980cea15be5d36493abeb?pvs=21), G2i 2 (https://www.notion.so/G2i-2-14cc26b3b4f980e4b745da6472bcc49f?pvs=21), G2i 3 CHRISTMAS (https://www.notion.so/G2i-3-CHRISTMAS-163c26b3b4f980a3a3b2c7041dda7829?pvs=21), G2i Mar 25-1 (https://www.notion.so/G2i-Mar-25-1-1a8c26b3b4f980798e67d36077ed7dd2?pvs=21), G2i Mar 25-2 (https://www.notion.so/G2i-Mar-25-2-1a8c26b3b4f980c59543d93bf3b66a4d?pvs=21), G2i Apr 25-1 (https://www.notion.so/G2i-Apr-25-1-1a8c26b3b4f98091aaa0df60e037e65e?pvs=21), G2i Apr 25-2 (https://www.notion.so/G2i-Apr-25-2-1a8c26b3b4f980789ae2f4e3ea2e7073?pvs=21), G2i May 25-1 (https://www.notion.so/G2i-May-25-1-1a8c26b3b4f980f7b604d5e681efd05c?pvs=21), G2i May 25-2 (https://www.notion.so/G2i-May-25-2-1a8c26b3b4f980b59a42f0c7a423a71f?pvs=21), G2i Jun 25-1 (https://www.notion.so/G2i-Jun-25-1-1a8c26b3b4f980b98209ef6700d9dee8?pvs=21), G2i Jun 25-2 (https://www.notion.so/G2i-Jun-25-2-1a8c26b3b4f98038af5be8aa8d7c45ae?pvs=21), G2i Jul 25-1 (https://www.notion.so/G2i-Jul-25-1-1a8c26b3b4f980798822d5dab506e02c?pvs=21), G2i Jul 25-2 (https://www.notion.so/G2i-Jul-25-2-1a8c26b3b4f98019be87ffa43c604024?pvs=21), G2i Aug 25-1 (https://www.notion.so/G2i-Aug-25-1-1a8c26b3b4f9803fa29cf6db99731273?pvs=21), G2i Aug 25-2 (https://www.notion.so/G2i-Aug-25-2-1a8c26b3b4f980bfad0bd654ea9d1898?pvs=21), G2i Sep 25-1 (https://www.notion.so/G2i-Sep-25-1-1a8c26b3b4f9808f94c1c74801689c28?pvs=21), G2i Sep 25-2 (https://www.notion.so/G2i-Sep-25-2-1a8c26b3b4f98076a920c8b1ac241e6a?pvs=21), G2i Oct 25-1 (https://www.notion.so/G2i-Oct-25-1-1a8c26b3b4f980e8a1b8cc3e39fa6d09?pvs=21), G2i Oct 25-2 (https://www.notion.so/G2i-Oct-25-2-1a8c26b3b4f980d2b99ec86177667a51?pvs=21), G2i Nov 25-1 (https://www.notion.so/G2i-Nov-25-1-268c26b3b4f9807baab1f842cafd31d5?pvs=21), G2i Nov 25-2 (https://www.notion.so/G2i-Nov-25-2-268c26b3b4f980c29c63eef33840ea85?pvs=21), G2i Nov 25-3 (https://www.notion.so/G2i-Nov-25-3-268c26b3b4f980afac43e693fb22b538?pvs=21), G2i Dec 25-1 (https://www.notion.so/G2i-Dec-25-1-268c26b3b4f9804c8bf3debcc32a4243?pvs=21), G2i Dec 25-2 (https://www.notion.so/G2i-Dec-25-2-268c26b3b4f98057988ff93cc51cf447?pvs=21), G2i Dec 25-3 (https://www.notion.so/G2i-Dec-25-3-268c26b3b4f980739e47d62e96a5f932?pvs=21), G2i Jan 26-1 (https://www.notion.so/G2i-Jan-26-1-268c26b3b4f98062b28be645116e5039?pvs=21), G2i Jan 26-2 (https://www.notion.so/G2i-Jan-26-2-268c26b3b4f9806488cde20aad206efb?pvs=21), G2i Jan 26-3 (https://www.notion.so/G2i-Jan-26-3-268c26b3b4f98087b9b2f1d427ad2ad1?pvs=21), G2i Feb 26-1 (https://www.notion.so/G2i-Feb-26-1-268c26b3b4f98060b5c0e27dd8af5e15?pvs=21), G2i Feb 26-2 (https://www.notion.so/G2i-Feb-26-2-268c26b3b4f980779f91d042ea3774d5?pvs=21), G2i Feb 26-3 (https://www.notion.so/G2i-Feb-26-3-268c26b3b4f9809b8b99d0e09864c9d9?pvs=21), G2i Mar 26-1 (https://www.notion.so/G2i-Mar-26-1-268c26b3b4f980b5bcfcfea9f83fde2d?pvs=21), G2i Mar 26-2 (https://www.notion.so/G2i-Mar-26-2-268c26b3b4f9807f8ba5ffda871b975b?pvs=21), G2i Mar 26-3 (https://www.notion.so/G2i-Mar-26-3-268c26b3b4f9801db892d8a9a357ec9a?pvs=21), G2i Apr 26-1 (https://www.notion.so/G2i-Apr-26-1-268c26b3b4f980c6aa32cc54a0f7373b?pvs=21), G2i Apr 26-2 (https://www.notion.so/G2i-Apr-26-2-268c26b3b4f980d6a772d9663c387ea4?pvs=21), G2i Apr 26-3 (https://www.notion.so/G2i-Apr-26-3-268c26b3b4f9804ea6d8fe485884bccb?pvs=21), G2i May 26-1 (https://www.notion.so/G2i-May-26-1-268c26b3b4f9803991ddfa4093b32355?pvs=21), G2i May 26-2 (https://www.notion.so/G2i-May-26-2-268c26b3b4f980ffa617eea7fdf58ec0?pvs=21), G2i May 26-3 (https://www.notion.so/G2i-May-26-3-268c26b3b4f980ee9708d845bda6d832?pvs=21), G2i Jun 26-1 (https://www.notion.so/G2i-Jun-26-1-268c26b3b4f98098b8bed86564c5ae0b?pvs=21), G2i Jun 26-2 (https://www.notion.so/G2i-Jun-26-2-268c26b3b4f9800a9413c3e227315ab8?pvs=21), G2i Jun 26-3 (https://www.notion.so/G2i-Jun-26-3-268c26b3b4f9804988c4e738fd3e6af2?pvs=21), G2i Jul 26-1 (https://www.notion.so/G2i-Jul-26-1-268c26b3b4f9808d9b75e1d8cd90ac08?pvs=21), G2i Jul 26-2 (https://www.notion.so/G2i-Jul-26-2-268c26b3b4f980cea1f0d6ec5a18218f?pvs=21), G2i Jul 26-3 (https://www.notion.so/G2i-Jul-26-3-268c26b3b4f9800f83afdd36452bcc5e?pvs=21), G2i Aug 26-1 (https://www.notion.so/G2i-Aug-26-1-268c26b3b4f9802482fded8f7f375a50?pvs=21), G2i Aug 26-2 (https://www.notion.so/G2i-Aug-26-2-268c26b3b4f980419141c7d2572343bc?pvs=21), G2i Aug 26-3 (https://www.notion.so/G2i-Aug-26-3-268c26b3b4f980a0b0eee921c0d26791?pvs=21), G2i Sep 26-1 (https://www.notion.so/G2i-Sep-26-1-268c26b3b4f980cca2ffdcf5c8689d41?pvs=21), G2i Sep 26-2 (https://www.notion.so/G2i-Sep-26-2-268c26b3b4f980ef8ff8ed7c28d16703?pvs=21), G2i Sep 26-3 (https://www.notion.so/G2i-Sep-26-3-268c26b3b4f980ee842ad48ec71ff6d0?pvs=21), G2i Oct 26-1 (https://www.notion.so/G2i-Oct-26-1-268c26b3b4f98098b53fd1c2d467b6dd?pvs=21), G2i Oct 26-2 (https://www.notion.so/G2i-Oct-26-2-268c26b3b4f9807783e6f13f7a1e864c?pvs=21), G2i Oct 25-3 (https://www.notion.so/G2i-Oct-25-3-268c26b3b4f9808aa19be85c80726a3f?pvs=21)",patrick@g2i.co,"G2i first 25 (https://www.notion.so/G2i-first-25-268c26b3b4f980f9bf24ed7bfc39c40a?pvs=21), G2i 2025-2026 annual (https://www.notion.so/G2i-2025-2026-annual-268c26b3b4f980e2bcdbce508ac4f198?pvs=21)",27/55,26/55,Done
PLACEHOLDER,"YT Placeholder 1 (https://www.notion.so/YT-Placeholder-1-151c26b3b4f980f58a02d4786a88e484?pvs=21), T3 Chat 1 (https://www.notion.so/T3-Chat-1-8fdca9f0e0ce43b6b0fce9b6ba7c9114?pvs=21), T3 Chat Mar 25-1 (https://www.notion.so/T3-Chat-Mar-25-1-1a9c26b3b4f9807ab4c8dcf07ca937d8?pvs=21), T3 Chat APR AD (https://www.notion.so/T3-Chat-APR-AD-1d1c26b3b4f9807bbdecda13e402f0ed?pvs=21), T3 Chat 2 COOL TOOLS (https://www.notion.so/T3-Chat-2-COOL-TOOLS-1d7c26b3b4f980dbb226f95d2caf4e09?pvs=21), T3 Chat 4 (https://www.notion.so/T3-Chat-4-1d7c26b3b4f980cab0f0cd0dc5a2569a?pvs=21), Sponsor Generic 1 (https://www.notion.so/Sponsor-Generic-1-1d7c26b3b4f9809d91dcf629653c616c?pvs=21)",,,6/7,6/7,Done
Ragie AI,"Ragie AI 1 (https://www.notion.so/Ragie-AI-1-152c26b3b4f98046a352c5e8138add0d?pvs=21), Ragie AI 2 (https://www.notion.so/Ragie-AI-2-152c26b3b4f980cda6dae7b1cf5855be?pvs=21), Ragie AI 3 CHRISTMAS (https://www.notion.so/Ragie-AI-3-CHRISTMAS-163c26b3b4f980299caff2e99eb8056c?pvs=21), Ragie AI 4 (https://www.notion.so/Ragie-AI-4-27ac26b3b4f9801c9405d7bd1937becd?pvs=21), Ragie AI 5 (https://www.notion.so/Ragie-AI-5-27ac26b3b4f9806294ead4b18fbf65ad?pvs=21)",bob@ragie.ai,"Ragie 2 Pack 2025 (https://www.notion.so/Ragie-2-Pack-2025-268c26b3b4f98034bdc8ed18ac769af9?pvs=21), Ragie 2 Pack Late 2025 (https://www.notion.so/Ragie-2-Pack-Late-2025-27ac26b3b4f98035b0eceeeab629558b?pvs=21)",5/5,5/5,Done
SingleStore,"Single Store 1 (https://www.notion.so/Single-Store-1-153c26b3b4f980708a39f616ccf37077?pvs=21), Single Store 2 (https://www.notion.so/Single-Store-2-153c26b3b4f98001aa0aec80c60de106?pvs=21), Single Store 3 CHRISTMAS (https://www.notion.so/Single-Store-3-CHRISTMAS-163c26b3b4f980b4821de5dbed33d106?pvs=21)",madhukar@singlestore.com,,3/3,3/3,Done
Eight Sleep,,mavi@eightsleep.com,,0/0,0/0,Done
Graphite,"Graphite 1 CHRISTMAS (https://www.notion.so/Graphite-1-CHRISTMAS-163c26b3b4f980528f71cc18cd5a7f5e?pvs=21), Graphite Jan 26-1 (https://www.notion.so/Graphite-Jan-26-1-176c26b3b4f980b597a2fcaf5b4ad7be?pvs=21), Graphite Feb 26-1 (https://www.notion.so/Graphite-Feb-26-1-176c26b3b4f980c29764c8d7adf5b391?pvs=21), Graphite Mar 26-1 (https://www.notion.so/Graphite-Mar-26-1-176c26b3b4f9801c85c6f6d61e423879?pvs=21), Graphite Apr 25-1 (https://www.notion.so/Graphite-Apr-25-1-176c26b3b4f9804b8699cfc45bc5b8fe?pvs=21), Graphite Apr 26-1 (https://www.notion.so/Graphite-Apr-26-1-176c26b3b4f980679ddecc77c6362463?pvs=21), Graphite May 26-1 (https://www.notion.so/Graphite-May-26-1-176c26b3b4f980dc9b40f51e77c029f2?pvs=21), Graphite Jul 25-1 (https://www.notion.so/Graphite-Jul-25-1-184c26b3b4f980c6a231d17986f38a4d?pvs=21), Graphite Aug 25-1 (https://www.notion.so/Graphite-Aug-25-1-184c26b3b4f98023a1aad8d986744b7f?pvs=21), Graphite Sep 25-1 (https://www.notion.so/Graphite-Sep-25-1-184c26b3b4f98041bd58c0b898b06096?pvs=21), Graphite Oct 25-1 (https://www.notion.so/Graphite-Oct-25-1-184c26b3b4f98071a1afd97dc1b77747?pvs=21), Graphite Nov 25-1 (https://www.notion.so/Graphite-Nov-25-1-184c26b3b4f98067b0d0fbe13caaca8a?pvs=21), Graphite Dec 25-1 (https://www.notion.so/Graphite-Dec-25-1-184c26b3b4f98015bd61ed3d079f5505?pvs=21)",merrill@graphite.dev,Graphite annual 2025 (https://www.notion.so/Graphite-annual-2025-268c26b3b4f9809f8293d127846a5f8d?pvs=21),5/13,5/13,Done
Notion,Notion 1 (Agentio) (https://www.notion.so/Notion-1-Agentio-16ac26b3b4f9808b8632c4707ce314f6?pvs=21),,,1/1,1/1,Done
Vapi,"Vapi 1 (https://www.notion.so/Vapi-1-18ec26b3b4f9809cb273eea78ce203b1?pvs=21), Vapi 2 (https://www.notion.so/Vapi-2-18ec26b3b4f98020a543dc909a843ae5?pvs=21)",yoshita@vapi.ai,Vapi 2 Pack 2025 (https://www.notion.so/Vapi-2-Pack-2025-268c26b3b4f9801197a6c95d12d1fca5?pvs=21),2/2,2/2,Done
